# 
ch1_10V	ch2_1V	time	Delay	a	
1623.533	1700.8	1718887783.8162024	0.2	0	20-06-24 14:49:43.816235
1623.733	1705.2	1718887784.0554163	0.2	0	20-06-24 14:49:44.055437
1628.133	1703.2	1718887784.2944956	0.2	0	20-06-24 14:49:44.294517
1619.8	1701.133	1718887784.5343487	0.2	0	20-06-24 14:49:44.534371
1627.4	1705.267	1718887784.7734125	0.2	0	20-06-24 14:49:44.773434
1617.667	1702.267	1718887785.0131762	0.2	0	20-06-24 14:49:45.013196
1622.867	1701.267	1718887785.2522104	0.2	0	20-06-24 14:49:45.252243
1626.333	1695.267	1718887785.4937315	0.2	0	20-06-24 14:49:45.493749
1620.267	1699.467	1718887785.7335742	0.2	0	20-06-24 14:49:45.733601
1625.467	1692.533	1718887785.9728665	0.2	0	20-06-24 14:49:45.972889
1628.667	1697.267	1718887786.2117937	0.2	0	20-06-24 14:49:46.211837
1617.933	1700.267	1718887786.451375	0.2	0	20-06-24 14:49:46.451406
1617.4	1699.867	1718887786.6900644	0.2	0	20-06-24 14:49:46.690087
1624.467	1699.067	1718887786.928721	0.2	0	20-06-24 14:49:46.928738
1628.6	1705.2	1718887787.169803	0.2	0	20-06-24 14:49:47.169844
1627.533	1706.333	1718887787.4080143	0.2	0	20-06-24 14:49:47.408035
1621.2	1701.133	1718887787.6479154	0.2	0	20-06-24 14:49:47.647944
1621.733	1706.0	1718887787.8881505	0.2	0	20-06-24 14:49:47.888194
1620.267	1699.333	1718887788.1277707	0.2	0	20-06-24 14:49:48.127790
1626.467	1698.2	1718887788.3676164	0.2	0	20-06-24 14:49:48.367640
1624.867	1696.667	1718887788.6046746	0.2	0	20-06-24 14:49:48.604698
1630.267	1700.267	1718887788.8423767	0.2	0	20-06-24 14:49:48.842397
1630.2	1708.2	1718887789.0821168	0.2	0	20-06-24 14:49:49.082135
1622.2	1713.733	1718887789.32197	0.2	0	20-06-24 14:49:49.322006
1628.867	1707.0	1718887789.5623252	0.2	0	20-06-24 14:49:49.562366
1637.467	1708.533	1718887789.8013864	0.2	0	20-06-24 14:49:49.801404
